# King King X-Berg

### TAPAS
Edamame | 4,90 EUR | -
Sommerollen 2 stk. | 5,90 EUR | E, D, H
Wantan 5 stk. | 6,90 EUR | A, B, F
Ding Dang Dong 4 stk. | 5,90 EUR | A, B, F
Frühlingsrollen 2 stk. (Rind) | 5,90 EUR | A, B, F
Smoky Saté 2 stk. | 6,90 EUR | H, J, M
Chicken Teriyaki 3 stk. | 5,50 EUR | H, J, M
Fire Dragen 2 stk. | 5,90 EUR | A, B, J, M
BBQ Ribs | 6,90 EUR | F, I, K, M
Lachs Teriyaki | 6,90 EUR | -
Miso Suppe | 5,50 EUR | -
Veggie Springroll 2 stk. | 5,50 EUR | -
Fan Vegi | 5,50 EUR | A, F, J, M
Kimchi Salat | 4,90 EUR | -
Sweetest Potato | 4,90 EUR | -
Coco Soup | 6,00 EUR | -

### SUSHI - TATARMAKI
Salmon Tatarmaki 8 stk. | 9,00 EUR | B, F, J, M
Tuna Tatarmaki 8 stk. | 10,00 EUR | A, B, F, J, M

### SUSHI - NIGIRI
Sake / Salmon 2 stk. | 5,00 EUR | B, C, F, J, L, M
Flamed Sake 2 stk. | 5,50 EUR | B, C, F, J, L, M
Tuna 2 stk. | 6,00 EUR | B, C, F, J, L, M
Flamed Tuna 2 stk. | 6,50 EUR | B, C, F, J, L, M
Ebi / Garnele 2 stk. | 6,00 EUR | B, C, F, J, L, M
Avocado 2 stk. | 5,00 EUR | B, C, F, J, L, M
Anago / Aal 2 stk. | 6,00 EUR | B, C, F, J, L, M

### SUSHI - MAKI
Sake / Salmon | 6,00 EUR | D
Sake & Avo / Salmon & Avocado | 6,50 EUR | D
Tekka / Tuna | 6,50 EUR | -
Tekka & Avo / Tuna & Avocado | 7,00 EUR | -
Ebi Tempura | 6,50 EUR | -
Chicken Crispy | 6,50 EUR | -
Gurke / Cucumber | 5,00 EUR | -
Avocado | 5,50 EUR | -
Kürbis / Pumpkin | 5,50 EUR | -
Anago / Aal | 7,00 EUR | -

### SUSHI - SASHIMI
Sake / Salmon | 14,90 EUR | B, C, F, J, L, M
Thunfisch / Maguro | 14,90 EUR | B, C, F, J, L, M
Sashimi Mix | 19,90 EUR | B, C, F, J, L, M

### SUSHI - VEGGIE ROLLS
Exotic Roll 10 stk. | 12,00 EUR | F, J, L, M
Rocket Roll 10 stk. | 12,00 EUR | F, J, L, M
Crunchy Vegie 10 stk. | 13,00 EUR | F, J, L, M

### SUSHI - INSIDE-OUT ROLLS
California IO 10 stk. | 11,90 EUR | A, D
Sake IO 10 stk. | 12,50 EUR | D
Ebi Tempura IO 10 stk. | 12,90 EUR | A, B, F, J, L, M
Futo IO 10 stk. | 14,90 EUR | D
Hot Spicy Tuna IO 10 stk. | 14,90 EUR | A, B, F, J, L, M
Crispy Tiger IO 10 stk. | 15,90 EUR | A, B, F, J, L, M
Crispy Chicken IO 10 stk. | 12,90 EUR | A, B, F, J, L, M
King King Krebs IO 10 stk. | 15,50 EUR | A, B, F, J, L, M
Tuna Fire 10 stk. | 15,90 EUR | A, B, F, J, L, M
Rainbow IO 10 stk. | 15,90 EUR | A, B, F, J, L, M
Salmon Tempura 10 stk. | 16,00 EUR | A, B, F, J, L, M
Crunchy King King 10 stk. | 17,00 EUR | A, B, F, J, L, M

### SUSHI - SUSHI MENÜ
Seefood Bowl | 18,90 EUR | A, B, D, F
Sake Menü | 15,50 EUR | D
Tobico Menü | 14,90 EUR | D
Veggie Menü | 15,50 EUR | F, J, L, M
King King Menü | 18,90 EUR | A, B, F, J, L, M
Crunchy Menü | 18,90 EUR | A, B, F, J, L, M
Sushi Lover for 2 | 45,00 EUR | A, B, F, J, L, M
Family Sushi | 79,00 EUR | A, B, F, J, L, M

### SALAT
Wakame Salat | 9,90 EUR | A, B
