# 7 Sisters Sushi & more

### Suppen
Miso Shiru | 3,50 EUR | f, d
Miso Spezial | 6,50 EUR | f, d, n
Miso Spicy Ebi | 5,50 EUR | f, b
Miso Sake | 4,50 EUR | f, d

### Sticks
Sake Samurai | 7,90 EUR | f, d, k
Tori no Tare | 7,90 EUR | f, k
Ebi Samurai | 8,50 EUR | k, b, n, f

### Gyoza
Gyoza Chicken | 6,50 EUR | k
Gyoza Veggie | 5,50 EUR | k
Gyoza Garnelen | 7,50 EUR | k, b

### Kindermenü
Chicken Schnitzel | 9,90 EUR | a, g, k, f
Kids Sushi | 9,90 EUR | a, g, k

### Otsumami
Spicy Edamame | 6,00 EUR | f, k
Edamame | 5,00 EUR | f
Yakitori | 6,50 EUR | k, f
Karaage | 6,90 EUR | k, f
Frühlingsr​ollen | 5,50 EUR | k
Ebi Green | 7,50 EUR | f, b, k

### Salate
Yuzu Gyu Salat | 14,50 EUR | f, k, b
Citrine Chicken Salat | 13,50 EUR | f, k, c
Leaves and Beans Salat | 12,50 EUR | f, k
Kimchi | 5,00 EUR | k
Seetang Salat | 5,00 EUR | k
Wakame-Gurkensalat | 6,50 EUR | k
Kimchi Kyuri Salat | 6,50 EUR | k

### Miso Ramen
Ramen Aki Ryu | 17,50 EUR | f, 22, k, c
Ramen Beef | 16,00 EUR | k, f, c, 22
Ramen Ebi Tempura | 16,00 EUR | b, k, 22, c, a, f
Ramen Spezial | 19,50 EUR | f, 22, k, d, n, c
Ramen Karaage | 15,50 EUR | f, 22, c, a, k
Ramen Sake | 16,00 EUR | d, k, 22, f, c
Ramen Gyoza Tori Katsu | 13,50 EUR | f, 22, c, a, k
Ramen Veggie | 12,50 EUR | f, k, a

### Japanisches Curry
Kare Classic | 13,50 EUR | f, k, a
Kare Karaage | 14,50 EUR | f, k, a
Kare Umi | 18,50 EUR | f, k, a, b
Kare Tofu | 12,50 EUR | f, k, a

### Udon
Maishähnchen Curry Udon | 16,50 EUR | a, k
Tofu Miso Kimchi Udon | 14,50 EUR | k, f, a
Karaage Curry Udon | 14,50 EUR | a, k, f
Beef Miso Teriyaki Udon | 16,50 EUR | k, f
Ebi Kimchi Udon | 18,50 EUR | b, k, c, a, f

### Reisgerichte
