# Mokja Restaurant

### MITTAGSMENÜ (12:00-15:00)
Fried Chicken Bento Box | 12,90 EUR | O, G
Bibimbap Classic | 10,00 EUR | S, O, G, E
Pho mit Rind | 9,00 EUR | F
Pho mit Huhn | 9,00 EUR | F
Tofu Teriyaki | 7,90 EUR | O, G, F

### VORSPEISEN
Mandu mit Glasnudeln (6 Stk) | 6,50 EUR | S, O, G
Mandu mit Huhn (6 Stk) | 6,50 EUR | S, O, G
Mandu mit Garnelen (6 Stk) | 6,50 EUR | S, O, G, F, A
Mandu mit Rind (6 Stk) | 6,50 EUR | S, O, G
Mandu mit Kimchi (6 Stk) | 6,50 EUR | O, G, F, C, U
Fried Chicken (4 Stk) | 5,90 EUR | S, O, G, U
Fried Chicken (6 Stk) | 7,90 EUR | S, O, G, U
Fried Chicken (9 Stk) | 9,90 EUR | S, O, G, U
Süßkartoffel Pommes | 4,50 EUR | -
Tteokbokki | 7,90 EUR | S, F, G
Tteokbokki mit Käse | 8,90 EUR | S, F, G
Kleine Miso Suppe | 4,50 EUR | S, A, O
Kleine Kimchi Suppe | 4,50 EUR | O, C, G, U
Kleine Wan Tan Suppe | 4,50 EUR | G, S
Ebi Katsu | 6,50 EUR | G, A
Nasu Dengaku | 4,50 EUR | O
Goma-ae | 4,00 EUR | O, G, S
Onigiri | 4,00 EUR | O, G
Baozi mit Taro (2 Stk) | 5,50 EUR | -
Baozi mit Huhn (2 Stk) | 5,50 EUR | -
Baozi mit Char Siu (2 Stk) | 5,50 EUR | -
Gua Bao mit Bulgogi (2 Stk) | 5,50 EUR | O, G
Gua Bao mit Fried Chicken (2 Stk) | 5,50 EUR | O, G
Gua Bao mit Tofu & Pilzen (2 Stk) | 5,50 EUR | O, G
Edamame | 5,00 EUR | -
Goi Ngo Sen mit Garnelen (3 Stk) | 6,00 EUR | F, A, N
Goi Ngo Sen mit Garnelen (6 Stk) | 9,50 EUR | F, A, N
Nem Chua Ran | 10,00 EUR | E, G
Doi Sun | 10,00 EUR | N
Dau Ran | 10,00 EUR | O

### EXTRAS
Reis | 2,00 EUR | -
Kimchi | 4,50 EUR | -

### HAUPTGERICHTE
Dobbab Vegan | 9,90 EUR | S, O, G
Dobbab Bulgogi | 11,90 EUR | S, O, G
Dobbab Jeyuk | 11,90 EUR | S, O, G
Bibimbap Classic | 9,90 EUR | S, O, G, E
Bibimbap Tofu | 9,90 EUR | S, O, G
Bibimbap mit Rind | 10,90 EUR | S, O, G, E
Bibimbap mit Thunfisch | 10,90 EUR | S, O, G, E
Bibimbap mit Fried Chicken | 10,90 EUR | S, O, G, E
Jjajangmyeon Vegan | 10,90 EUR | C, E, G, S
Jjajangmyeon mit Schwein | 11,90 EUR | C, E, G, S
Japchae Vegan | 10,90 EUR | S, O, G
Japchae mit Rind | 12,90 EUR | S, O, G
Miso Suppe Vegan | 9,90 EUR | S, A, O
Miso Suppe mit Rind | 10,90 EUR | S, A, O
Teriyaki Tofu | 10,90 EUR | O, G, F
Teriyaki Huhn | 12,90 EUR | O, G, F
Teriyaki Lachs | 14,90 EUR | O, G, F
Kimchi Jjigae Vegan | 10,90 EUR | O, G, C, U
Kimchi Jjigae mit Rind | 11,90 EUR | O, G, C, U
Kimchi Jjigae mit Schwein | 11,90 EUR | O, G, C, U
Kare Raisu Tofu | 10,90 EUR | G, A
Kare Raisu mit Rind | 12,90 EUR | G, A
Kare Raisu mit Huhn | 12,90 EUR | G, A
Kare Raisu mit Garnelen-Tempura | 12,90 EUR | G, A

### BENTO BOX
Fried Chicken Bento Box | 16,00 EUR | O, G
Unagi Bento Box | 18,00 EUR | E, O, G, F
Vegan Bento Box | 15,00 EUR | O, G
Kare Raisu Rind Bento Box | 16,00 EUR | G, A
Lachs Bento Box | 17,00 EUR | O, G, F

### VIETNAM SPECIALS
Pho mit Rind | 12,90 EUR | F
Pho mit Huhn | 12,90 EUR | F
Pho mit Rind & Huhn | 13,90 EUR | F
Bun Ga Mang Moc | 12,90 EUR | F
Bun Bo Nam Bo | 12,90 EUR | F, N, O, G
Pho Tron | 12,90 EUR | G, F
