# Cafe Brick

### THE BREAKFAST PLATE

Breakfast Plate Veggie (for one) | 15,90 EUR | -
Breakfast Plate Veggie (for two) | 29,90 EUR | -
Breakfast Plate Veggie mit Rührei (for one) | 15,90 EUR | -
Breakfast Plate Veggie mit Rührei (for two) | 29,90 EUR | -

#### EXTRAS
Sucuk (garlic sausage) | 2,90 EUR | -
White Cheese | 2,50 EUR | -
Grilled Cheese | 2,50 EUR | -
Avocado | 2,90 EUR | -
Smoked Salmon | 3,70 EUR | -
Pulled Turkey with Honey-Mustard-Mayo Sauce | 3,50 EUR | -
Beef Bacon (halal) | 2,90 EUR | -
Bread | 2,50 EUR | -
Organic Fried or Scrambled Egg | 2,50 EUR | -

### MENEMEN

#### VEGGIE
Gebratenes Gemüse | 12,50 EUR | -

#### VEGAN OPTION
Gebratenes Gemüse ohne Ei | 10,50 EUR | -

#### EXTRAS
Sucuk (garlic sausage) | 2,90 EUR | -
White Cheese | 2,50 EUR | -
Gouda & Mozzarella Cheese | 2,50 EUR | -
Avocado | 2,90 EUR | -
Smoked Salmon | 3,70 EUR | -
Pulled Turkey with Honey-Mustard-Mayo-Sauce | 3,50 EUR | -
Beef Bacon (halal) | 2,90 EUR | -
Bread | 2,50 EUR | -
Organic Fried or Scrambled Egg | 2,50 EUR | -

### VEGAN

#### AVOCADO & HUMMUS BREAD
Avocado & Hummus Bread | 13,20 EUR | -

#### EXTRAS
Organic Fried or Scrambled Egg | 2,50 EUR | -
Sucuk (garlic sausage) | 2,90 EUR | -
White Cheese | 2,50 EUR | -
Grilled Cheese | 2,50 EUR | -
Smoked Salmon | 3,70 EUR | -
Pulled Turkey with Honey-Mustard-Mayo-Sauce | 3,50 EUR | -
Beef Bacon (halal) | 2,90 EUR | -
Dried Tomatoes | 2,00 EUR | -

### THE

#### GRILLED CHEESE PULLED TURKEY SANDWICH
Grilled Cheese Pulled Turkey Sandwich | 12,90 EUR | -

#### BREKKIE BURGER
Brekkie Burger | 12,90 EUR | -
Brekkie Burger auf Sauerteigbrot (Turkey Bread) | 14,90 EUR | -

#### EXTRAS
Sucuk (garlic sausage) | 2,90 EUR | -
White Cheese | 2,50 EUR | -
Avocado | 2,90 EUR | -
Pulled Turkey with Honey-Mustard-Mayo Sauce | 3,50 EUR | -
