# Tischendorf

### BREAKFAST & LUNCH
Bircher Muesli w/ Poached Pear, Berry Sauce, Homemade Granola & Fruit | 9,00 EUR | -
Porridge w/ Poached Pear, Berry Sauce, Homemade Granola & Fruit | 9,50 EUR | -
French Toast w/ Ricotta, Poached Pear, Homemade Granola & Berries | 13,50 EUR | -
Omelette w/ Spinach & Feta, Salad & Sourdough Bread | 12,50 EUR | -
Scrambled Eggs w/ Roasted Veggies, Salad & Bread | 12,50 EUR | -
Scrambled Eggs w/ Salmon, Salad & Bread | 13,50 EUR | -
Two Poached Eggs on Sauteed Spinach, King Oyster Mushrooms & Miso Mayo on Bread | 13,50 EUR | -
Lunch Bowl w/ Quinoa, Vegetables, Hummus & Greens | 10,50 EUR | -
Lunch Bowl w/ Quinoa, Vegetables, Hummus, Greens & Fried Egg | 13,00 EUR | -
Lunch Bowl w/ Quinoa, Vegetables, Hummus, Greens & Salmon | 13,00 EUR | -
Lunch Bowl w/ Quinoa, Vegetables, Hummus, Greens & Poached Egg | 13,00 EUR | -
Lunch Bowl w/ Quinoa, Vegetables, Hummus, Greens & Feta | 12,00 EUR | -
Vegan Daily Changing Soup w/ Bread | 7,00 EUR | -
Goat Cheese Sandwich w/ Roasted Veggies, Hummus & Salad | 9,00 EUR | -
Salmon Sandwich w/ Capers, Cream Cheese & Salad | 9,50 EUR | -
Vegan Sandwich w/ Homemade Hummus, Roasted Veggies & Salad | 9,00 EUR | -
Homemade Vegan Banana Bread with Butter/Margarine | 6,00 EUR | -
Homemade Vegan Banana Bread with Ricotta & Honey | 7,00 EUR | -

### HOT DRINKS
Flat White | 3,90 EUR | -
Cappuccino | 3,70 EUR | -
Long Black | 3,10 EUR | -
Latte Macchiato | 4,20 EUR | -
Espresso | 2,20 EUR | -
Espresso Macchiato | 2,40 EUR | -
Hot Chocolate | 4,50 EUR | -
Prana Chai Latte | 4,70 EUR | -
Golden Milk | 4,50 EUR | -
Matcha Latte | 4,50 EUR | -
Fresh Tea | 3,90 EUR | -
Pot of Tea | 3,50 EUR | -

### REFRESHING
Fresh Orange Juice | 4,50 EUR | -
Fresh Mixed Juice | 4,50 EUR | -
Homemade Ice Tea | 4,20 EUR | -
Homemade Lemonade | 4,20 EUR | -
Coconut Water | 4,50 EUR | -
Apfelschorle | 3,20 EUR | -
Rhabarberschorle | 3,20 EUR | -
Viva con Aqua Wasser | 3,20 EUR | -
Roy Kombucha | 4,00 EUR | -
S&N Yuzu Seltzer | 4,00 EUR | -

### ALCOHOLIC
Beer | 3,70 EUR | -
Wine | 4,50 EUR | -
Prosecco | 5,00 EUR | -
Mimosa | 6,00 EUR | -
