# Anh Ba Restaurant

### BANH MÌ
Banh Mì mit gegrilltem Schwein | 7,90 EUR | -
Banh Mì mit gegrilltem Hähnchen | 7,90 EUR | -
Banh Mì mit Tofu | 7,90 EUR | N

### FINGERFOOD
Nem Chien mit Hühnchen | 5,90 EUR | N, F, H
Nem Chien mit Gemüse | 5,90 EUR | N, F, H
Gỏi Cuốn mit Tofu | 4,90 EUR | -
Gỏi Cuốn mit Garnelen | 5,90 EUR | -
Tôm Chiên Cốm | 6,90 EUR | -
Crispy Bowl Vegan | 6,50 EUR | F
Thịt Nuong | 6,90 EUR | F
Bò Lá Lốt mit gegrilltem Rind | 5,90 EUR | I
Bò Lá Lốt mit gegrilltem Seitan | 5,90 EUR | I
Hoi An Crostini Vegan | 5,50 EUR | -
Shiso Rolls Vegan | 6,50 EUR | N, H
Tau Hu Sate | 4,90 EUR | H
Bò Sa | 6,90 EUR | I
Viet Tacos mit Hühnchen | 5,90 EUR | H, N
Viet Tacos mit Garnelen | 5,90 EUR | H, N
Viet Tacos mit knusprigem Tofu | 5,90 EUR | H, N
Loving Tofu | 5,90 EUR | A, B, C, D, F, N
Nasu Caramel Yaki | 7,90 EUR | I, A
Crispy Chicken | 5,90 EUR | I
Dumplings mit Gemüse | 5,90 EUR | N, H
Dumplings mit Hühnchen | 5,90 EUR | N, H

### SALATE
Gỏi Hoa Chuối | 9,90 EUR | I, F
Gỏi Xoài mit Tofu | 5,90 EUR | -
Gỏi Xoài mit Garnelen-Hühnchen | 6,50 EUR | -
Golden Salat mit knusprigem Tofu | 5,90 EUR | -
Golden Salat mit Hühnchen | 5,90 EUR | -
Golden Salat mit Garnelen | 6,50 EUR | -

### SMALL SOUPS
Hoanh Thanh mit Garnelen | - EUR | H, F
Hoanh Thanh mit knusprigem Tofu | - EUR | H, F
Sup Tomka mit Hühnchen | 7,90 EUR | -
Sup Tomka mit knusprigem Tofu | 6,90 EUR | -

### PHỞ - SOUP
Phở mit Rinderfleisch | 14,90 EUR | N
Phở mit Hühnchen | 13,90 EUR | N
Phở Vegan | 11,90 EUR | -

### NOODLE SOUPS
Bún Bò Huế | 13,90 EUR | N
Bún Huế Vegan | 11,90 EUR | N, B
Bún Cá | 15,90 EUR | N
Bún Cá Vegan | 12,90 EUR | I, A
Bánh Canh | 13,90 EUR | O, NF

### NOODLE DISHES
Phở Xào mit knuspriger Ente | 15,90 EUR | I, H
Phở Xào mit gegrilltem Hühnersteck | 14,90 EUR | I, H
Phở Xào mit knuspriger großer Garnele | 14,90 EUR | I, H
Phở Xào mit knusprigem Hühnchen | 13,90 EUR | I, H
Cao Lầu mit mariniertem Schweinbauch | 13,90 EUR | B
Cao Lầu mit gegrilltem Hühnersteck | 13,90 EUR | I
Mì Bò Kho | 13,90 EUR | H, N, F
