# Via He Hai

### VORSPEISEN UND KLEINE GERICHTE

Nem gỏi cuốn mit Rindfleisch | 4,20 EUR | -
Nem gỏi cuốn mit Hühnerfleisch | 4,20 EUR | -
Nem gỏi cuốn mit Tofu | 4,20 EUR | -
Nem gỏi cuốn mit Garnelen | 4,80 EUR | -
Nem rán | 4,80 EUR | -
Nộm Gà xé phay | 4,20 EUR | -
Súp Cải Gừng | 4,20 EUR | -
Gà Sá Tê | 4,80 EUR | -
Wan tan chiên | 4,20 EUR | -
Wantan Suppe | 4,80 EUR | -

### HAUPTGERICHTE - PHỞ (REIS-BANDNUDELSUPPEN)

Phở Bò | 10,90 EUR | -
Phở Gà | 10,90 EUR | -
Phở Áp chảo mit Rindfleisch | 11,90 EUR | -
Phở Áp chảo mit vegetarischem Fleisch | 11,90 EUR | -
Phở Áp chảo mit Hühnerfleisch | 11,90 EUR | -
Phở Áp chảo mit Tofu | 11,90 EUR | -
Phở Áp chảo mit Großgarnelen | 14,90 EUR | -
Phở Áp chảo mit knuspriger Ente | 14,90 EUR | -

### HAUPTGERICHTE - BÚN (REIS-FADENNUDELN)

Bún Chả nướng Obama | 12,90 EUR | -
Bún Chả cuốn Lá Lốt | 11,90 EUR | -
Bún Bò mit Rindfleisch | 11,90 EUR | -
Bún Bò mit vegetarischem Fleisch | 11,90 EUR | -
Bún Bò mit Tofu | 11,90 EUR | -
Bún Nem mit Frühlingsröllchen | 11,90 EUR | -
Bún Nem mit vegetarischen Frühlingsrollen | 11,90 EUR | -
Bún Gỏi mit Sommerröllchen | 11,90 EUR | -
Bún Gỏi mit Tofu | 11,90 EUR | -
Bún chả Cá | 11,90 EUR | -
Bún Gà Sá Tê mit Hühnerfleischspießen | 11,90 EUR | -
Bún Gà Sá Tê mit vegetarischem Fleisch | 11,90 EUR | -

### HAUPTGERICHTE - MIẾN (GLASNUDELN)

Miên xào thịt Bò mit Rindfleisch | 13,90 EUR | -
Miên xào thịt Bò mit vegetarischem Fleisch | 13,90 EUR | -
Miên xào thịt Bò mit Tofu | 13,90 EUR | -
Miên xào thịt Gà mit Hühnerfleisch | 13,90 EUR | -
Miên xào thịt Gà mit vegetarischem Fleisch | 13,90 EUR | -
Miên xào thịt Gà mit Tofu | 13,90 EUR | -
Miên thịt Bò trộn Xoài mit Rindfleisch | 10,90 EUR | -
Miên thịt Bò trộn Xoài mit Tofu | 10,90 EUR | -
Miên thịt Gà trộn Xoài mit Hühnerfleisch | 10,90 EUR | -
Miên thịt Gà trộn Xoài mit Tofu | 10,90 EUR | -

### HAUPTGERICHTE - THỊT GÀ (HÜHNERFLEISCH)

Gà xào Xả Ớt mit Hühnerfleisch | 11,90 EUR | -
Gà xào Xả Ớt mit Tofu | 11,90 EUR | -
