# Bistro im DAZ

### MONTAG
Schnitzel Wiener Art | 10,50 EUR | 1, 3, 7
Gemüse-Spargel-Quiche | 9,50 EUR | 1, 3, 7

### DIENSTAG
Gebratene Hähnchenbrust Saté | 10,50 EUR | 5, 6
Frühlingsgemüse aus dem Ofen | 9,50 EUR | 7

### MITTWOCH
Griechische Moussaka | 10,50 EUR | 1, 3, 7
Fitness Bowl mit Joghurt-Tahini-Sauce | 9,50 EUR | 5, 7

### WOCHENANGEBOT
Wechselnder Tages-Eintopf: Chili Con Carne | 8,00 EUR | -
Veganer Salat mit Ofengemüsen & Rosmarinkartoffeln | 9,50 EUR | -
Veganer Salat mit Hühnchenbrust-Streifen | 12,50 EUR | -
Großer gemischter Salat mit Thunfisch, Ei, Oliven, Rosmarinkartoffel | 12,50 EUR | 3, 4
Großer gemischter Salat mit Scampi-Spieß, Kartoffel & Parmaschinken | 14,50 EUR | 2, 3
Pasta Vegi: Vegetarische Bolognese | 9,50 EUR | 1, 7
Pasta Fleisch: Hühnchenstreifen, Gemüse, Currysauce | 10,50 EUR | 1, 6, 7
